Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,617.2304355,336.5869945,200.8522198,367.2792251,586.4161351,750.6044492,1009.977111,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787816,2972.743621,3595.038295,4370.539716,4114.134033,4094.349686,4437.141161,4247.631343,4413.063383,4578.633208,3952.803574,4124.05539,4531.032207,5365.489347,5460.428237,5370.778623,6413.283286,6846.426143,8575.171134,..
Albania,ALB,Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.5,21.6,18.6,18.1,17.1,17.200001,16.200001,15.384868,15.562693,16.168895,17.957757,16.841581,15.977374,15.711602,16.59844,18.235053,18.27715,18.321579,..
Albania,ALB,Bank non-performing loans to gross loans (%),GFDD.SI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.5999999,4.1999998,2.3,3.0999999,3.4000001,6.5999999,10.5,13.96298,18.769339,22.493897,23.492778,22.802734,18.168574,18.269952,13.232533,11.084582,8.368958,8.1138999,..
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.80000058,-1.200000585,1.800002302,-2.100000758,-0.899996553,3.79999479,4.09999847,1.099999939,5.100003609,3.200001554,3.800000001,2.999999999,5.4,6.5,4.5,5.4,2.9,3.1,2.5,1.2,4.8,3,2.4,2.6,4.1,3.2,3.9,1.5,1.4,0.9,-5,3.8,3.6,4.1,..
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,16.65253439,25.88638693,31.66966191,20.54032612,29.04765612,29.77962649,18.67907586,5.733522754,4.950161638,2.645511134,0.339163189,4.225988349,1.418301923,4.268953958,3.961800303,1.382446567,2.311499185,3.678995747,4.858590628,5.737060361,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211,2.415130941,7.226063074,9.265515516,9.322173759,4.046114553
Algeria,DZA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,56.14321672,46.28916649,7.254817644,6.617753019,6.489104896,5.199387035,5.364902709,3.907416857,4.563822482,5.388089302,5.965639986,7.384503886,11.2566389,10.3642725,10.21032839,11.50028863,11.52081537,12.30581563,12.13019176,14.84757686,13.7901332,12.56510641,12.90864387,15.0652749,16.42166364,19.22034514,20.25245482,21.86038558,22.38714887,22.91286954,26.11721342,22.6599904,18.23519214,18.86936231,..
Algeria,DZA,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,61.77114041,49.11130985,51.94199481,50.10145811,45.31867225,37.16944579,33.00583648,36.08143414,42.37682235,42.20770317,37.82972484,52.38176442,57.87507994,58.01596367,55.02186441,51.89256107,54.4649955,60.71736276,59.70944622,66.78192169,62.61563928,62.35097958,62.54402455,65.50098547,70.96747933,72.59120329,69.83807103,71.0633952,73.34167761,71.50547166,84.87178893,79.82603177,71.6469589,72.33077372,..
Algeria,DZA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,2.288952765,5.177027973,..,..,..,..,..,..,..,..,..,..,..,..,..,19.78577209,23.49853694,21.30334579,18.82336351,0.28716938,6.873619293,8.094953006,5.323711069,0.517147116,-3.877215884,-14.42054464,-14.49628776,-11.62176837,-8.689412962,-8.763735988,-11.03090954,-2.423263881,8.612490014,2.568070558,..
Algeria,DZA,Total reserves in months of imports,FI.RES.TOTL.MO,2.60624874,3.901196469,..,..,..,..,..,..,..,..,..,..,..,..,..,22.78943432,30.16300305,35.39503901,32.07382017,33.79143408,36.78194148,34.82381771,34.30739712,32.7812905,28.19225044,25.85690655,22.57925661,19.37160832,15.92693383,14.46657523,15.44145629,13.76656819,16.33086132,17.0252107,..
Algeria,DZA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,47.09541601,65.99780648,59.662683,54.51671303,74.10099262,83.51100158,75.82278095,67.22889836,66.43954121,60.84815374,48.88907077,39.3442465,38.83446682,33.46559797,25.35759404,16.67189963,4.971524268,4.355125508,3.483452718,4.970617707,4.081511229,2.795025036,2.451810661,2.321637443,2.354839712,2.543648597,3.041857317,3.040682269,2.999358123,2.897610058,3.193518168,4.04120698,3.235007147,2.997554433,..
